asset_class,time_gap,count,total_gaps,n_gaps_gt_5m,pct_gaps_gt_5m,pct_of_gaps,time_gap_minutes
crypto,0 days 00:05:00,5994,5997,3,0.0005002501250625312,0.9994997498749375,5.0
crypto,0 days 01:05:00,3,5997,3,0.0005002501250625312,0.0005002501250625312,65.0
forex,0 days 00:05:00,5639,5997,358,0.05969651492412873,0.9403034850758712,5.0
forex,0 days 00:10:00,46,5997,358,0.05969651492412873,0.00767050191762548,10.0
forex,0 days 00:25:00,43,5997,358,0.05969651492412873,0.007170251792562948,25.0
forex,0 days 00:30:00,34,5997,358,0.05969651492412873,0.005669501417375354,30.0
forex,0 days 00:15:00,33,5997,358,0.05969651492412873,0.005502751375687844,15.0
forex,0 days 00:20:00,27,5997,358,0.05969651492412873,0.004502251125562781,20.0
forex,0 days 00:35:00,23,5997,358,0.05969651492412873,0.00383525095881274,35.0
forex,0 days 00:40:00,19,5997,358,0.05969651492412873,0.003168250792062698,40.0
forex,0 days 00:50:00,16,5997,358,0.05969651492412873,0.0026680006670001667,50.0
forex,0 days 01:10:00,10,5997,358,0.05969651492412873,0.0016675004168751042,70.0
index,0 days 00:05:00,11800,11943,143,0.011973540986351838,0.9880264590136482,5.0
index,0 days 17:35:00,95,11943,143,0.011973540986351838,0.007954450305618354,1055.0
index,2 days 17:35:00,22,11943,143,0.011973540986351838,0.0018420832286695134,3935.0
index,0 days 15:30:00,14,11943,143,0.011973540986351838,0.0011722347818805994,930.0
index,3 days 17:35:00,5,11943,143,0.011973540986351838,0.00041865527924307125,5375.0
index,2 days 15:30:00,3,11943,143,0.011973540986351838,0.00025119316754584274,3810.0
index,0 days 15:35:00,1,11943,143,0.011973540986351838,8.373105584861426e-05,935.0
index,1 days 17:35:00,1,11943,143,0.011973540986351838,8.373105584861426e-05,2495.0
index,1 days 20:35:00,1,11943,143,0.011973540986351838,8.373105584861426e-05,2675.0
index,2 days 15:35:00,1,11943,143,0.011973540986351838,8.373105584861426e-05,3815.0
stock,0 days 00:05:00,7708,7755,47,0.006060606060606061,0.9939393939393939,5.0
stock,0 days 08:05:00,21,7755,47,0.006060606060606061,0.0027079303675048355,485.0
stock,0 days 15:35:00,15,7755,47,0.006060606060606061,0.0019342359767891683,935.0
stock,2 days 08:05:00,6,7755,47,0.006060606060606061,0.0007736943907156673,3365.0
stock,2 days 15:35:00,4,7755,47,0.006060606060606061,0.0005157962604771116,3815.0
stock,0 days 00:10:00,1,7755,47,0.006060606060606061,0.0001289490651192779,10.0
