asset_id,asset_class,n_rows,n_exact_duplicate_rows,n_duplicate_timestamp_rows,n_rows_missing_required,n_rows_invalid_date,n_rows_invalid_ohlc,n_rows_negative_volume,n_rows_unknown_asset,min_date,max_date
BTCUSD,crypto,2000,0,0,0,0,0,0,0,2026-03-04 00:25:00,2026-03-11 00:00:00
ETHUSD,crypto,2000,0,0,0,0,0,0,0,2026-03-04 00:25:00,2026-03-11 00:00:00
SOLUSD,crypto,2000,0,0,0,0,0,0,0,2026-03-04 00:25:00,2026-03-11 00:00:00
EURUSD,forex,2000,0,0,0,0,0,0,0,2026-03-02 01:20:00,2026-03-11 00:00:00
USDCNY,forex,2000,0,0,0,0,0,0,0,2026-02-09 21:00:00,2026-03-11 00:00:00
USDJPY,forex,2000,0,0,0,0,0,0,0,2026-03-02 01:20:00,2026-03-11 00:00:00
^DJI,index,1872,0,0,0,0,0,0,0,2026-02-04 09:30:00,2026-03-10 15:55:00
^FCHI,index,2000,0,0,0,0,0,0,0,2026-02-11 13:50:00,2026-03-10 17:30:00
^GSPC,index,1872,0,0,0,0,0,0,0,2026-02-04 09:30:00,2026-03-10 15:55:00
^IXIC,index,1872,0,0,0,0,0,0,0,2026-02-04 09:30:00,2026-03-10 15:55:00
^NDX,index,4332,0,0,0,0,0,0,0,2025-12-12 09:30:00,2026-03-05 15:55:00
AAPL,stock,1919,0,0,0,0,0,0,0,2026-02-25 04:00:00,2026-03-10 19:55:00
GOOG,stock,1920,0,0,0,0,0,0,0,2026-02-25 04:00:00,2026-03-10 19:55:00
MC.PA,stock,2000,0,0,0,0,0,0,0,2026-02-11 12:20:00,2026-03-10 17:25:00
NVDA,stock,1920,0,0,0,0,0,0,0,2026-02-25 04:00:00,2026-03-10 19:55:00
