asset_id,asset_class,status,reason,n_rows_total,horizon,gap_minutes,arima_p,arima_d,arima_q,model_bic,train_size,regime_rate,n_eval,n_pred_ok,pred_ok_rate,corr_pred_vs_actual,trend_accuracy
AAPL,stock,ok,,607,15,30,3.0,0.0,0.0,-1256.082533167767,364.0,0.014827018121911038,229.0,229.0,1.0,0.5214892174051263,0.6506550218340611
BTCUSD,crypto,skipped,excluded_by_scope,635,15,30,,,,,,,,,,,
ETHUSD,crypto,skipped,excluded_by_scope,635,15,30,,,,,,,,,,,
EURUSD,forex,ok,,635,15,30,2.0,0.0,0.0,-6358.692349813178,381.0,0.0015748031496062992,240.0,240.0,1.0,0.42707342343327376,0.7166666666666667
GOOG,stock,ok,,607,15,30,2.0,0.0,0.0,-925.1075752852714,364.0,0.014827018121911038,229.0,229.0,1.0,0.60366405240234,0.7161572052401747
MC.PA,stock,ok,,634,15,30,2.0,0.0,0.0,-425.6604545434866,380.0,0.028391167192429023,240.0,240.0,1.0,0.5673267279479474,0.6708333333333333
NVDA,stock,ok,,607,15,30,2.0,0.0,0.0,-981.0825174541008,364.0,0.014827018121911038,229.0,229.0,1.0,0.47532629476445953,0.7205240174672489
SOLUSD,crypto,skipped,excluded_by_scope,635,15,30,,,,,,,,,,,
USDJPY,forex,ok,,635,15,30,3.0,0.0,0.0,-2746.579057580235,381.0,0.0015748031496062992,240.0,240.0,1.0,0.5730060719943717,0.6625
^DJI,index,ok,,591,15,30,3.0,0.0,0.0,2342.7478668682465,354.0,0.03722504230118443,223.0,223.0,1.0,0.38289775543502025,0.7399103139013453
^FCHI,index,ok,,646,15,30,2.0,0.0,1.0,811.0338215747869,387.0,0.02786377708978328,245.0,245.0,1.0,0.5844622202910693,0.6653061224489796
^GSPC,index,ok,,591,15,30,2.0,0.0,0.0,887.6814936966442,354.0,0.03722504230118443,223.0,223.0,1.0,0.3457460187297751,0.7713004484304933
^IXIC,index,ok,,591,15,30,2.0,0.0,0.0,1951.2671595177542,354.0,0.03722504230118443,223.0,223.0,1.0,0.4037645755302443,0.7937219730941704
^NDX,index,ok,,1411,15,30,2.0,0.0,0.0,4674.382871381562,846.0,0.03827072997873848,551.0,551.0,1.0,0.5158144038847295,0.8076225045372051
