asset_id,asset_class,status,reason,n_rows_total,n_train_rows,n_gap_rows,n_test_rows,n_eval,n_pred_ok,pred_ok_rate,corr_pred_vs_actual,trend_accuracy
AAPL,stock,ok,,621,443,15,138,138,138,1.0,-0.01817718177152451,0.7391304347826086
BTCUSD,crypto,ok,,649,484,15,125,125,125,1.0,0.16331365926042235,0.8
ETHUSD,crypto,ok,,649,484,15,125,125,125,1.0,0.01568097206402677,0.784
EURUSD,forex,ok,,649,484,15,125,125,125,1.0,-0.2042097817606813,0.712
GOOG,stock,ok,,621,443,15,138,138,138,1.0,-0.1515101607584249,0.6884057971014492
MC.PA,stock,ok,,648,540,15,68,68,68,1.0,0.29474090384058926,0.6764705882352942
NVDA,stock,ok,,621,443,15,138,138,138,1.0,0.03880154604481677,0.7318840579710145
SOLUSD,crypto,ok,,649,484,15,125,125,125,1.0,0.1137770214227881,0.816
USDJPY,forex,ok,,649,484,15,125,125,125,1.0,-0.09448948338171673,0.776
^DJI,index,ok,,605,411,15,154,154,154,1.0,-0.01851771358441471,0.7272727272727273
^FCHI,index,ok,,660,406,15,214,214,214,1.0,-0.07387099328075455,0.6869158878504673
^GSPC,index,ok,,605,411,15,154,154,154,1.0,0.040450720786595354,0.7402597402597403
^IXIC,index,ok,,605,411,15,154,154,154,1.0,-0.08548877022618778,0.7012987012987013
^NDX,index,ok,,1425,1309,15,76,76,76,1.0,-0.09728416972162102,0.75
